Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
0.0,71947665,528,136264.5,53456.0,8896,740066,202793.4,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_tn_align2>(T1::Params)
0.0,71150501,26036,2732.8,2720.0,2080,510465,5816.7,CUDA_KERNEL,"<unnamed>::qvq_half2_codebook_norm_pack_kernel(const __half *, unsigned long *, int)"
0.0,68395001,3500,19541.4,8336.5,3200,662849,33573.5,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,67069539,7980,8404.7,8224.0,7808,10592,603.8,CUDA_KERNEL,"void batch_trsm_left_kernel<float, (int)64, (int)4, (int)3, (bool)0, (bool)0, (bool)1>(cublasTrsmBatchParams2<T1>, T1, const T1 *, int)"
0.0,66525959,20490,3246.8,3200.0,1792,116736,1957.9,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,58729225,9380,6261.1,3584.0,2976,23584,4170.7,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,57928515,29300,1977.1,1952.0,1536,210753,1332.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,55672198,8612,6464.5,4032.0,3968,66784,10717.4,CUDA_KERNEL,ampere_sgemm_32x128_nt
0.0,55143781,19336,2851.9,2944.0,1792,58592,789.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<long, long, long, at::native::BitwiseAndFunctor<long>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,54879278,292,187942.7,70544.0,42848,590240,189528.2,CUDA_KERNEL,"void <unnamed>::softmax_warp_forward<c10::Half, float, float, (int)10, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.0,53337861,8802,6059.7,6592.0,3072,9824,1179.3,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)1>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,52596040,19412,2709.5,2560.0,1728,163265,1576.1,CUDA_KERNEL,"void at::native::roll_cuda_kernel<float>(const T1 *, T1 *, long, long, long, long, long, long)"
0.0,52342373,43564,1201.5,1120.0,1056,85185,484.1,MEMORY_OPER,[CUDA memset]
0.0,51910556,4,12977639.0,12945367.5,12874560,13145261,117238.2,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_simt_sgemm_64x128_8x5_nt_align1>(T1::Params)
0.0,50784620,4,12696155.0,12695755.5,12694334,12698775,1906.5,CUDA_KERNEL,ampere_sgemm_128x64_tn
0.0,48628550,16,3039284.4,2424017.0,852897,7723388,1934516.7,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, float, float, float, at::native::<unnamed>::LogSoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
0.0,47704423,16,2981526.4,2370321.5,833472,7608700,1908628.1,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
0.0,47331268,16,2958204.3,2347889.5,838528,7527036,1883799.9,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::LogSoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
0.0,47223979,16561,2851.5,2272.0,1664,1424927,20299.0,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, bool, at::native::<unnamed>::CompareEqFunctor<c10::Half>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,46732938,2816,16595.5,9504.0,5568,137056,19559.1,CUDA_KERNEL,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,46717190,3840,12165.9,7744.0,2624,62656,12616.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,43750455,128,341800.4,163088.0,53728,1225855,370563.9,CUDA_KERNEL,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_256x128_nt_align1>(T1::Params)
0.0,43467248,15409,2820.9,2240.0,1632,1410496,20953.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Half, bool, at::native::<unnamed>::CompareEqFunctor<c10::Half>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,43333455,24592,1762.1,1696.0,1536,45376,407.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,41137503,600,68562.5,66784.0,58560,97344,9163.7,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(T1::Params)
0.0,39133290,16,2445830.6,2447390.5,2437630,2454527,6074.8,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
0.0,37195786,2972,12515.4,9312.0,3360,61824,8989.6,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,36762364,11494,3198.4,3328.0,1760,55777,1910.0,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,33211366,19,1747966.6,1765792.0,582721,2909248,661310.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,31860793,1152,27656.9,13664.0,3520,156192,31851.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,31432342,128,245565.2,102544.0,28224,984703,302296.3,CUDA_KERNEL,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nt_align1>(T1::Params)
0.0,30788484,16,1924280.3,1533713.0,477824,4961086,1274629.5,CUDA_KERNEL,"void <unnamed>::indexing_backward_kernel<c10::Half, (int)4>(const long *, const long *, const T1 *, T1 *, long, long, long, long, bool)"
0.0,30683197,278,110371.2,11040.0,7424,3583242,579184.6,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nn
0.0,30495546,14980,2035.8,2048.0,1632,6592,208.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,30346470,15846,1915.1,1760.0,1600,45856,2154.2,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,29894130,2846,10503.9,4256.0,2368,85056,15260.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,29091157,595,48892.7,32384.0,8960,141441,29908.5,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8>(T1::Params)
0.0,28818548,1502,19186.8,18240.0,9504,62912,6047.7,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_tn
0.0,28709676,703,40838.8,21984.0,3936,999392,102158.3,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,28265133,574,49242.4,59824.5,26560,106656,19860.8,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn
0.0,27930011,20413,1368.2,1376.0,1248,2528,93.5,CUDA_KERNEL,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,27893433,48,581113.2,554160.0,390272,799808,167549.2,CUDA_KERNEL,"void <unnamed>::softmax_warp_backward<float, c10::Half, float, (int)10, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
0.0,27694792,7668,3611.7,3392.0,2208,270497,5217.1,CUDA_KERNEL,"<unnamed>::qvq_yaqa_feedback_epilogue_kernel(const float *, const float *, const float *, const float *, const float *, float *, int, int, int, int, int)"
0.0,27355559,8,3419444.9,3420841.0,3412236,3423588,4149.2,CUDA_KERNEL,ampere_sgemm_128x64_lower_nt
0.0,27243887,496,54927.2,21664.5,12928,190336,56219.9,CUDA_KERNEL,"void <unnamed>::softmax_warp_forward<c10::Half, float, float, (int)9, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.0,26670894,10240,2604.6,2592.0,2336,3040,134.5,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::maximum_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)]>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
